time,f_b_est_x,f_b_est_y,f_b_est_z,dot_omega_b_est_x,dot_omega_b_est_y,dot_omega_b_est_z,r_rel_est_x,r_rel_est_y,r_rel_est_z,euler_est_x,euler_est_y,euler_est_z
0.0,-0.14088593127825252,-9.196605741857748e-05,9.810000487467175,-0.01477077108615144,-0.017317770052204716,2.2719631888498246,1.4643310832349389e-09,9.55870149801537e-13,-1.019625485053899e-07,1.327535587083791e-10,1.556448303574598e-10,-2.0419466671771145e-08
0.0001,-0.17234533419717585,-5.934843892209442e-05,9.8099865475774,-0.009532095274272307,-0.020135519393611107,1.1023021164594646,1.7913117910683366e-09,6.168522495502856e-13,-1.0196240361692609e-07,8.56705869143385e-11,1.809696836829744e-10,-9.907036205572543e-09
0.0002,-0.2859572091435037,-0.00012323392988263082,9.809908081275461,-0.019793509921717,-0.03293409508927274,0.8233080933918742,2.9721635519699725e-09,1.2808606004085238e-12,-1.0196158806035709e-07,1.7789578813152973e-10,2.959983369521524e-10,-7.3995531370984134e-09
0.0003,-0.5153807273315173,-7.743216260581493e-05,9.809711826036253,-0.012436114938629356,-0.0585121585008112,0.7018486796509864,5.35673088263094e-09,8.048099943553302e-13,-1.0195954823461266e-07,1.1177058771782467e-10,5.258831148324816e-10,-6.307926040375056e-09
0.0004,-0.8378244260009987,-3.1076530063376574e-07,9.809365027154525,-4.8926791255141797e-05,-0.0935438505689883,0.2958461433307123,8.708125350064411e-09,3.2296763706177687e-15,-1.0195594369899349e-07,4.397658337094851e-13,8.40733482831979e-10,-2.658942916557753e-09
0.0005,-1.2043937843772101,-7.292500092774124e-05,9.808865742560522,-0.011712718008360299,-0.133001203325448,0.18184176302431998,1.25181502456764e-08,7.57962760516161e-13,-1.0195075426947062e-07,1.052689235097553e-10,1.1953598111347219e-09,-1.6343186536669795e-09
0.0006,-1.581694060592051,-0.0001383346132592082,9.80821940205656,-0.022219444643897277,-0.1733131489735456,0.0858442014776957,1.6439709461650857e-08,1.437813830481452e-12,-1.019440363800069e-07,1.99699246340643e-10,1.5576671064110315e-09,-7.715322311859248e-10
0.0007,-1.9235025083897008,-0.00022289961623663866,9.807447321594374,-0.03580224766061324,-0.21004997984049828,0.12755217099451666,1.999237600650426e-08,2.3167602687594502e-12,-1.0193601158185207e-07,3.2177583917917356e-10,1.8878425489532447e-09,-1.1463862047534881e-09
0.0008,-2.238008325433396,-0.00018015764206523135,9.80655907708069,-0.028936871435184978,-0.24444298609043807,0.10596782128844269,2.3261266232029093e-08,1.8725108999120565e-12,-1.0192677940508798e-07,2.6007263952899316e-10,2.196952841870825e-09,-9.523950615029097e-10
0.0009,-2.5128551306162974,-0.000172675807385359,9.805562415612654,-0.027734426740229006,-0.275562995259394,0.16364730963921587,2.611795118596608e-08,1.7947474732490095e-12,-1.0191642037240182e-07,2.492654442662675e-10,2.4766464434833324e-09,-1.4707944080104458e-09
0.001,-2.7946740813113538,-0.00016820753057616696,9.80443200127688,-0.02701791499579643,-0.3076934872077938,0.038012513079912075,2.9047102773984804e-08,1.7483044775183886e-12,-1.019046711475452e-07,2.4282577492403615e-10,2.7654221135264834e-09,-3.4164079681799533e-10
0.0011,-3.0784017717880143,-0.00017536990896371846,9.803164300226513,-0.02816782419802912,-0.34027388295625,0.07767384657228417,3.1996093297538604e-08,1.822748085626245e-12,-1.0189149500129759e-07,2.531608139997642e-10,3.058241215825319e-09,-6.981003903930864e-10
0.0012,-3.3866083835420993,-0.0001710004404679431,9.801738718247792,-0.02746568199641078,-0.3748441381653271,0.09359293538329824,3.519951125034859e-08,1.7773341133922211e-12,-1.0187667788425761e-07,2.4685018648299135e-10,3.368944234694027e-09,-8.411746701657928e-10
0.0013,-3.707595692510094,-0.000158005728715237,9.800166654179321,-0.0253787255922505,-0.41055156645574503,0.06418208392384453,3.8535768387249124e-08,1.6422696480235574e-12,-1.0186033827033358e-07,2.2809351327158187e-10,3.6898679667274337e-09,-5.768421505038227e-10
0.0014,-4.0290015481626105,-0.0001523062253763037,9.79845511968611,-0.02446357578072916,-0.4460042407155912,0.037904936823566236,4.187637578665151e-08,1.5830309722665202e-12,-1.0184254903754079e-07,2.198684099245167e-10,4.008501974794854e-09,-3.406738930141179e-10
0.0015,-4.355208637682004,-0.0001327838438291561,9.796601507106425,-0.021327859094478235,-0.48171984531349843,0.031148507564272038,4.526688594137846e-08,1.3801205226409036e-12,-1.0182328308449514e-07,1.9168599630170043e-10,4.329498981547886e-09,-2.7994990046438873e-10
0.0016,-4.677716196348901,-0.00020274283555670654,9.79454550080574,-0.03256482511203173,-0.5170625557174828,0.039075053258212415,4.861894415052564e-08,2.107255678599136e-12,-1.0180191350494359e-07,2.926791801987239e-10,4.647144669078784e-09,-3.511904551118334e-10
0.0017,-4.994065187897549,-0.00019354793256842217,9.792407622131423,-0.031087470136873442,-0.5519216656989995,0.05834463781326156,5.190699184233522e-08,2.0116856699542437e-12,-1.0177969296481281e-07,2.7940138105580117e-10,4.96044405551288e-09,-5.243775216680382e-10
0.0018,-5.30993100577586,-0.00010538036171239849,9.7901914990987,-0.016926191636578727,-0.5867366455726802,0.0250274923902296,5.519001755479164e-08,1.0952962572794548e-12,-1.0175665917528034e-07,1.521256675167477e-10,5.273346648237975e-09,-2.249367201607914e-10
0.0019,-5.619881681106781,-0.00017572291991341395,9.787424351311119,-0.028224923314688597,-0.6212441446996853,0.024849789940204033,5.841156283966438e-08,1.8264176265328897e-12,-1.0172789817901812e-07,2.5367379422800083e-10,5.583485895854778e-09,-2.2333970419246692e-10
0.002,-5.929659908817906,-0.0002532325163074789,9.784657196678234,-0.04067422620135368,-0.655751888518321,0.052371977021683246,6.163131575088115e-08,2.632032494798802e-12,-1.0169913711351803e-07,3.6556305026946553e-10,5.893627141873026e-09,-4.706977770150386e-10
0.0021,-6.239735216277398,-0.00017422097766438602,9.781890045163898,-0.027983412515626985,-0.6902598198430692,0.03217684153464872,6.48541564293512e-08,1.8108066549843532e-12,-1.0167037608026307e-07,2.5150336640702213e-10,6.2037701642481125e-09,-2.8919208109124486e-10
0.0022,-6.54964154567724,-0.00024314736372952912,9.779122891613456,-0.03905451954581555,-0.7247671833008259,0.039123496571387376,6.807524079268177e-08,2.5272088620922483e-12,-1.0164161502584635e-07,3.5100575742972034e-10,6.513908079597286e-09,-3.516258297677868e-10
0.0023,-6.8595035649190255,-0.00018376554234316207,9.77635573517933,-0.029515886937605765,-0.75927495554801,0.05318641568083241,7.129586461035676e-08,1.9100107639788643e-12,-1.0161285394198933e-07,2.652764498188728e-10,6.824049769704743e-09,-4.780173935442086e-10
0.0024,-7.169617964711895,-0.00010948813181117273,9.773588586401806,-0.017585759551682432,-0.7937821597551035,0.026713868933703245,7.451911160187538e-08,1.1379902975578945e-12,-1.015840929372801e-07,1.580534496236114e-10,7.134186130741682e-09,-2.400932978029759e-10
0.0025,-7.480241664734667,-2.9247545311902573e-05,9.770095314478265,-0.004696336895285166,-0.8283770795035809,0.05258849908377181,7.774765212600139e-08,3.0399182012611773e-13,-1.0154778480189562e-07,4.220871858242583e-11,7.445111194215315e-09,-4.72643759216757e-10
0.0026,-7.791341549178005,-0.00017157474969785465,9.766538836173808,-0.027558755925175187,-0.8629773339533235,0.01366027537576682,8.098114198356301e-08,1.7833029243104694e-12,-1.015108197173e-07,2.4768663734780814e-10,7.756083775234401e-09,-1.2277295508087618e-10
0.0027,-8.102139625845068,-0.00017174698893027032,9.762982347477863,-0.027586099999089304,-0.8975791700583902,0.023207247510396455,8.421149493001382e-08,1.7850924750055478e-12,-1.0147385452445004e-07,2.479323506557151e-10,8.067071011197413e-09,-2.0857711820040156e-10
